#,CS,VBNL-N,VDD33_N,WE,ADDR[9],ADDR[8],ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],VDD,VSS,SA
300,1,4,4,1,0,1,0,0,1,0,1,0,1,1,1.1,0,0
302,1,4,4,1,0,1,0,0,1,0,1,1,0,1,1.1,0,0
304,1,4,4,1,0,1,0,0,1,0,1,1,1,1,1.1,0,0
306,1,4,4,1,0,1,0,0,1,1,0,0,0,1,1.1,0,0
308,1,4,4,1,0,1,0,0,1,1,0,0,1,1,1.1,0,0
310,1,4,4,1,0,1,0,0,1,1,0,1,0,1,1.1,0,0
312,1,4,4,1,0,1,0,0,1,1,0,1,1,1,1.1,0,0
314,1,4,4,1,0,1,0,0,1,1,1,0,0,1,1.1,0,0
316,1,4,4,1,0,1,0,0,1,1,1,0,1,1,1.1,0,0
318,1,4,4,1,0,1,0,0,1,1,1,1,0,1,1.1,0,0
320,1,4,4,1,0,1,0,0,1,1,1,1,1,1,1.1,0,0
321,1,4,4,1,0,1,0,1,0,0,0,0,0,0,1.1,0,0
323,1,4,4,1,0,1,0,1,0,0,0,0,1,0,1.1,0,0
325,1,4,4,1,0,1,0,1,0,0,0,1,0,0,1.1,0,0
327,1,4,4,1,0,1,0,1,0,0,0,1,1,0,1.1,0,0
329,1,4,4,1,0,1,0,1,0,0,1,0,0,0,1.1,0,0
331,1,4,4,1,0,1,0,1,0,0,1,0,1,0,1.1,0,0
333,1,4,4,1,0,1,0,1,0,0,1,1,0,0,1.1,0,0
335,1,4,4,1,0,1,0,1,0,0,1,1,1,0,1.1,0,0
337,1,4,4,1,0,1,0,1,0,1,0,0,0,0,1.1,0,0
339,1,4,4,1,0,1,0,1,0,1,0,0,1,0,1.1,0,0
341,1,4,4,1,0,1,0,1,0,1,0,1,0,0,1.1,0,0
343,1,4,4,1,0,1,0,1,0,1,0,1,1,0,1.1,0,0
345,1,4,4,1,0,1,0,1,0,1,1,0,0,0,1.1,0,0
347,1,4,4,1,0,1,0,1,0,1,1,0,1,0,1.1,0,0
349,1,4,4,1,0,1,0,1,0,1,1,1,0,0,1.1,0,0
351,1,4,4,1,0,1,0,1,0,1,1,1,1,0,1.1,0,0
354,1,4,4,1,0,1,0,1,1,0,0,0,0,1,1.1,0,0
356,1,4,4,1,0,1,0,1,1,0,0,0,1,1,1.1,0,0
358,1,4,4,1,0,1,0,1,1,0,0,1,0,1,1.1,0,0
360,1,4,4,1,0,1,0,1,1,0,0,1,1,1,1.1,0,0
362,1,4,4,1,0,1,0,1,1,0,1,0,0,1,1.1,0,0
364,1,4,4,1,0,1,0,1,1,0,1,0,1,1,1.1,0,0
366,1,4,4,1,0,1,0,1,1,0,1,1,0,1,1.1,0,0
368,1,4,4,1,0,1,0,1,1,0,1,1,1,1,1.1,0,0
370,1,4,4,1,0,1,0,1,1,1,0,0,0,1,1.1,0,0
372,1,4,4,1,0,1,0,1,1,1,0,0,1,1,1.1,0,0
374,1,4,4,1,0,1,0,1,1,1,0,1,0,1,1.1,0,0
376,1,4,4,1,0,1,0,1,1,1,0,1,1,1,1.1,0,0
378,1,4,4,1,0,1,0,1,1,1,1,0,0,1,1.1,0,0
